,Regime_0,Regime_1,Regime_2,Moderate Growth,Recession,Expansion
2004-06-01,0.9394948423084355,0.06047395952805107,3.119816350951171e-05,0.9394948423084355,0.06047395952805107,3.119816350951171e-05
2004-07-01,0.8328125201450632,0.16705885942323762,0.00012862043169520757,0.8328125201450632,0.16705885942323762,0.00012862043169520757
2004-08-01,0.7062735679052714,0.29354242754731724,0.00018400454740744387,0.7062735679052714,0.29354242754731724,0.00018400454740744387
2004-09-01,0.5693484929466603,0.43041858360218654,0.00023292345114911392,0.5693484929466603,0.43041858360218654,0.00023292345114911392
2004-10-01,0.34649125514445617,0.653134968813188,0.00037377604235196106,0.34649125514445617,0.653134968813188,0.00037377604235196106
2004-11-01,0.17250813313607444,0.8271336197485408,0.0003582471153808825,0.17250813313607444,0.8271336197485408,0.0003582471153808825
2004-12-01,0.053121149793184295,0.9465786174467211,0.0003002327600907155,0.053121149793184295,0.9465786174467211,0.0003002327600907155
2005-01-01,0.002659318630027323,0.9971111409392995,0.0002295404306693836,0.002659318630027323,0.9971111409392995,0.0002295404306693836
2005-02-01,0.003094543457001234,0.9967462095521986,0.00015924699079625107,0.003094543457001234,0.9967462095521986,0.00015924699079625107
2005-03-01,0.009540935123129732,0.9903406871452511,0.00011837773161530098,0.009540935123129732,0.9903406871452511,0.00011837773161530098
2005-04-01,0.14793107565430014,0.8520058152591745,6.310908652158401e-05,0.14793107565430014,0.8520058152591745,6.310908652158401e-05
2005-05-01,0.37793659436284793,0.6220219587093576,4.144692779054527e-05,0.37793659436284793,0.6220219587093576,4.144692779054527e-05
2005-06-01,0.6184894246592093,0.3814967130670065,1.3862273780423002e-05,0.6184894246592093,0.3814967130670065,1.3862273780423002e-05
2005-07-01,0.8884119522796224,0.11158308146559603,4.966254777695954e-06,0.8884119522796224,0.11158308146559603,4.966254777695954e-06
2005-08-01,0.9511556631264703,0.048837800794879205,6.536078646823054e-06,0.9511556631264703,0.048837800794879205,6.536078646823054e-06
2005-09-01,0.9534157705180968,0.04657083760151397,1.3391880385577856e-05,0.9534157705180968,0.04657083760151397,1.3391880385577856e-05
2005-10-01,0.8846341737624441,0.11528906952388673,7.675671366565299e-05,0.8846341737624441,0.11528906952388673,7.675671366565299e-05
2005-11-01,0.7926829506925691,0.20718005197887482,0.00013699732855269384,0.7926829506925691,0.20718005197887482,0.00013699732855269384
2005-12-01,0.5334044847372663,0.46621500217274814,0.00038051308998225073,0.5334044847372663,0.46621500217274814,0.00038051308998225073
2006-01-01,4.13411366057084e-06,0.9986289331609185,0.0013669327254176773,4.13411366057084e-06,0.9986289331609185,0.0013669327254176773
2006-02-01,4.694554578678425e-08,0.9995082019512411,0.0004917511032097713,4.694554578678425e-08,0.9995082019512411,0.0004917511032097713
2006-03-01,4.4204515748047815e-08,0.9997283239632597,0.0002716318322210818,4.4204515748047815e-08,0.9997283239632597,0.0002716318322210818
2006-04-01,8.171326395661257e-05,0.9997670852017223,0.00015120153431795935,8.171326395661257e-05,0.9997670852017223,0.00015120153431795935
2006-05-01,0.00016184602682172864,0.999691326607699,0.00014682736547591996,0.00016184602682172864,0.999691326607699,0.00014682736547591996
2006-06-01,0.00017889335665791298,0.9996716373593743,0.00014946928396431292,0.00017889335665791298,0.9996716373593743,0.00014946928396431292
2006-07-01,2.670669806849462e-06,0.9998464832861957,0.00015084604399395236,2.670669806849462e-06,0.9998464832861957,0.00015084604399395236
2006-08-01,3.4798788932192654e-06,0.9998312926359764,0.00016522748512690094,3.4798788932192654e-06,0.9998312926359764,0.00016522748512690094
2006-09-01,0.0001889199724964079,0.9996114112594059,0.0001996687680939256,0.0001889199724964079,0.9996114112594059,0.0001996687680939256
